episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -6569.139077425003, 2, 16.762836051000022, 694, 25447,                                             25447, 0.0, 4114.80712890625
2, -4768.901931524277, 2, 12.177847543999974, 517, 25964,                                             25964, 0.0, 3852.815185546875
3, -3074.6364553570747, 2, 6.33805431199994, 244, 26208,                                             26208, 0.0, 3503.95361328125
4, -4528.500075340271, 2, 11.146692949999988, 450, 26658,                                             26658, 0.0, 4391.939453125
5, -3980.3150585889816, 2, 10.150943487999939, 425, 27083,                                             27083, 0.0, 4499.77685546875
6, -4891.685878753662, 2, 16.358514217999982, 684, 27767,                                             27767, 0.0, 4430.78564453125
7, -3031.956825852394, 2, 6.113848209000025, 247, 28014,                                             28014, 0.0, 4617.55126953125
8, -4022.6693365573883, 2, 8.123138512999958, 328, 28342,                                             28342, 0.0, 4749.767578125
9, -4671.574949502945, 2, 11.743811701000027, 479, 28821,                                             28821, 0.0, 4653.6982421875
10, -4432.742630243301, 2, 12.347203573999991, 509, 29330,                                             29330, 0.0, 4362.61083984375
11, -3723.8815245628357, 2, 7.526226517000055, 341, 29671,                                             29671, 0.0, 3876.255615234375
12, -3566.9115682840347, 2, 6.334408102999987, 293, 29964,                                             29964, 0.0, 3727.4755859375
13, -4809.49734377861, 2, 12.357808260999946, 495, 30459,                                             30459, 0.0, 3730.541748046875
14, -4697.607550024986, 2, 11.55217381, 489, 30948,                                             30948, 0.0, 3636.0556640625
15, -3597.0111753940582, 2, 6.141142421999916, 260, 31208,                                             31208, 0.0, 4297.810546875
16, -3925.705146551132, 2, 11.961039059000086, 481, 31689,                                             31689, 0.0, 4522.53466796875
17, -3945.0426273345947, 2, 8.129550757000061, 332, 32021,                                             32021, 0.0, 4852.9580078125
18, -4472.596512794495, 2, 11.152190127999802, 460, 32481,                                             32481, 0.0, 4285.306640625
19, -3932.7386977672577, 2, 7.938954000999956, 336, 32817,                                             32817, 0.0, 4043.7236328125
20, -4754.9567014575005, 2, 15.744493174999889, 644, 33461,                                             33461, 0.0, 4294.287109375
21, 1431.3427310884, 1, 14.175554004000105, 609, 34070,                                             34070, 0.0, 3289.0673828125
22, -3538.6682250499725, 2, 5.717450290999977, 225, 34295,                                             34295, 0.0, 4075.332763671875
23, -4662.566247701645, 2, 13.756496749000007, 586, 34881,                                             34881, 0.0, 3835.05078125
24, -3696.5016663074493, 2, 10.952727849999974, 459, 35340,                                             35340, 0.0, 4714.0888671875
25, -3205.2227239608765, 2, 7.542165303999809, 316, 35656,                                             35656, 0.0, 4192.65673828125
26, -4021.663702726364, 2, 8.542790935999847, 351, 36007,                                             36007, 0.0, 3810.693115234375
27, -4052.635791182518, 2, 9.144548671000166, 386, 36393,                                             36393, 0.0, 4706.55126953125
28, -3788.4389164447784, 2, 8.324656271999856, 345, 36738,                                             36738, 0.0, 4648.86376953125
29, -4646.6170127391815, 2, 10.549600793999844, 444, 37182,                                             37182, 0.0, 3936.4541015625
30, -3150.804447889328, 2, 5.332995446000041, 227, 37409,                                             37409, 0.0, 4019.48046875
31, -4111.798491477966, 2, 8.545278865, 350, 37759,                                             37759, 0.0, 3012.173828125
32, -3493.6518334150314, 2, 7.741185291999955, 324, 38083,                                             38083, 0.0, 4215.99609375
33, -6372.579685211182, 2, 16.547321423999847, 690, 38773,                                             38773, 0.0, 3638.648193359375
34, -3553.8764181137085, 2, 5.732053967999946, 240, 39013,                                             39013, 0.0, 3956.52099609375
35, -4618.727840781212, 2, 11.356249459000082, 483, 39496,                                             39496, 0.0, 4880.7021484375
36, -4222.050236463547, 2, 8.745859900999903, 363, 39859,                                             39859, 0.0, 4237.31298828125
37, -3873.7367374897003, 2, 7.12207262700008, 297, 40156,                                             40156, 0.0, 5417.068359375
38, -3286.7133404016495, 2, 6.337014858999964, 262, 40418,                                             40418, 0.0, 4111.32666015625
39, -4649.274672746658, 2, 11.931902545000185, 492, 40910,                                             40910, 0.0, 4653.412109375
